Peak,Secondary Peak,Route Name,Climb Grade,Elevation Gain,Driving Distance (Miles),Driving Time (Hours),Typical Duration,Typical Season,Glaciated Peak,Rock Skills Required,Snow Angle,Rappelling Required,Crevasse Rescue Skills Required,Typical Gear,Notes,Guide Books,Phone Numbers
Grays and Torrey Peaks,,Grays Torrey Traverse,A,3600,1500,21,1,summerautumn,FALSE,,,FALSE,FALSE,Scramble,"From the Grays Peak Trailhead, head up the well defined trail through Stevens Gulch, accessing a small ridge, then traverse on toward the summit of Grays Peak. Taking the saddle northwest leads to Torrey Peak summit. Retrace your route back along the saddle, accessing a trail heading east and returning to the Grays Peak Trail to the trailhead. ",,"US Forest Service, Clear Creek Ranger District303-567-3000"
Greenwood Mountain,,SW Route,B,5000,250,6,2,summerautumn,,3,,FALSE,FALSE,Scramble,Exposed rock scramble in remote location. Slightly more challenging than Dumbell Mountain. The route climbs past the summit of Dumbell and onto Greenwood Mountain.,Summit Routes: Washingtons 100 Highest Peaks by Scott Stephenson and Brian BongiovanniCascade Alpine Guide Volume 2 by Fred Beckey,US Forest Service Okanagon / Wenatchee - Lake Wenatchee Ranger District
Gunn Peak,,Standard,B,4000,230,4,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,Exposed class 3 climbing leads to the top of this scramble peak.,"Cascade Alpine Guide, Volume 2 by Fred Beckey",USFS Skykomish Ranger Station (360) 677-2414
Gunsight Peak,,SW Face,E,7000,300,6,2,summerautumn,TRUE,5,upto35,TRUE,FALSE,Rock,A 5.6 rock climb gets you to the top of this remote peak.,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,Mt. Baker-Snoqualmie National Forest. Darrington Ranger Station (360) 436-1155
Guye Peak,,North Route,A,3200,230,3.5,1,springsummer,FALSE,3,upto35,FALSE,FALSE,Scramble,"Guye has many technical 5th class routes, but well take the easy way up.  Guye is often climbed in conjunction with its large neighbor, Snoqualmie Mountain. This is a technically easy ""scramble"" peak in the Snoqualmie Pass area off of I-90 east of Seattle.  It offers some fine vistas and little in the way of technical difficulty.  Ice axe and crampons may be needed in the early season.  If you are staying in the area, it can be combined with Kaleetan, Hibox, Chair, or some of the many other easier nearby scramble peaks. ",75 Scrambles in Washington by Peggy GoldmanCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"Mt. Baker-Snoqualmie NF, North Bend Office, 425-888-1421"
Hadley Peak,,Skyline Divide,A,3000,300,7,1,summerautumn,FALSE,,,FALSE,FALSE,Scramble,This is a walk up peak next to Mt. Baker.,Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,USFS Glacier Public Service Center: 360-599-2714 USFS Sedro Wooley Mt. Baker Ranger Station: 206-856-5700
Hibox Mountain,,SW Route,A,3800,210,4.5,1,springsummer,FALSE,3,upto35,FALSE,FALSE,Snow,"This is a technically easy ""scramble"" peak in the Snoqualmie Pass area off of I-90 east of Seattle.  It offers some fine vistas and little in the way of technical difficulty.  Ice axe and crampons may be needed in the early season.  If you are staying in the area, it can be combined with Guye, Kaleetan, Chair, or some of the many other easier nearby scramble peaks . ",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey75 Scrambles in Washington by Peggy Goldman,"Wenatchee NF, Cle Elum Ranger District 509-674-4411"
Hidden Lake Peak,,North Ridge,B,3200,310,5,2,summerautumn,FALSE,,upto35,FALSE,FALSE,Scramble,"This peak is near Eldorado Peak, Cascade Pass, and the town of Marblemount.",Climbing Washingtons Mountains by Jeff SmootCascade Al pine Guide: Stevens Pass to Rainy Pass by Fred Beckey,Marblemount NPS Ranger Station 360-873-4590 
Hurricane Divide South,,SW Face,A,,350,7,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,From Summitpost:,,"Wallowa Mountains Visitor Center, Enterprise, OR"
Hurwal Divide,,Thorp Creek,A,4700,350,7,2,summerautumn,FALSE,,,FALSE,FALSE,Scramble,This is a tall yet non-technical walk up peak in the Wallowa mountain range.,75 Scrambles in Oregon by Barbara Bond,"Wallowa Mountains Visitor Center, Enterprise, OR"
Icy Peak,,North Route,B,4000,300,7,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,Snow,"Near Ruth Mountain and a bit east of Mt. Shuksan in the North Cascades, Icy Peak is a remote, climb with moderate technical requirements.  As you might guess from the name, there are a few glaciers on this peak! ",Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,Forest Service Glacier Public Service Center 360-599-2714
Illumination Rock - Mt. Hood,,Illumination Rock - South Chamber,C,3400,65,1.5,1,springsummer,,5,35to50,TRUE,TRUE,Scramble,"From Timberline Lodge, ascend the south side and cross Zigzag Glacier to the base of the South Chamber.  Climb the Chamber to the West Gable and follow the ridge to the summit.  Descend on rappel from the West Gable.","Oregon High by Jeff Thomas, pages 41-42.",
Ingalls Peak,,South Ridge,A,3440,225,6,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Ingalls Peak is comprised of three summits, made up of generally good rock. The south peak is the least technical of the three summits. The north ridge is a walk-up, and the south ridge is a short scramble. The north and east peaks are where you want to go for the more technical climbs, but the south peak is only 25 feet lower and has the same great views of Mt Stuart (2 miles distant). ",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey (pg. 323 - 3rd edition),"USFS Leavenworth Ranger station: 509-548-6997, USFS Cle Elum Ranger Station, 509-852-1100, Chelan County Sheriff, Wenatchee 509 782-3770, Kittitas County Sheriff, 509-962-7525"
Ingalls Peak,,East Ridge of North Peak,D,3400,275,6,1,summerautumn,FALSE,5,,TRUE,,Rock,"The East Ridge of the North Peak of Ingalls is a nice climb with a few  5th class pitches, good quality rock, great vistas of massive neighbor Mt. Stuart, and an easy approach.  The East Ridge is is rated 5.7, with a single crux move.  Gear - medium to large stoppers, small cams, small tri cams.  Use the nice creek at the trailhead to cool off your post climb beverages.  While either of these routes may be done car to car in a day by fast teams, gorgeous backpack camps near Ingalls Lake are available and make for an relaxing weekend.  There are three summits to Ingalls, North is the highest.  For a more sporting day of climbing, tag the East peak of Ingalls (2-3 pitches of easy 5th class rock), rap to the notch between the east and north, climb the East ridge, and then rap the south face route.  Combine one or more of these routes with a West Ridge of Stuart climb for a great Cascades granite 3 day weekend! ",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"USFS Cle Elum Ranger Station, 509-674-4411"
Ingalls Peak,,South Face,D,3400,275,6,1,summerautumn,FALSE,5,,TRUE,FALSE,Rock,"The South Face of the North Peak of Ingalls is nice climbs with a few 5th class pitches, good quality rock, great vistas of massive neighbor Mt. Stuart, and an easy approach.  The South Face is rate 5.4 and suggested gear is a small rack to 2 inches. Use the nice creek at the trailhead to cool off your post climb beverages. While either of these routes may be done car to car in a day by fast teams, gorgeous backpack camps near Ingalls Lake are available and make for an relaxing weekend.  There are three summits to Ingalls, North is the highest.  For a more sporting day of climbing, tag the East peak of Ingalls (2-3 pitches of easy 5th class rock), rap to the notch between the east and north, climb the East ridge, and then rap the south face route.  Combine one or more of these routes with a West Ridge of Stuart climb for a great Cascades granite 3 day weekend! ","Climbs in the Cascades, Volume I by Nelson and PotterfieldCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey","USFS Cle Elum Ranger Station, 509-674-4411"
Inspiration Peak,,South Face,E,,300,5,2,summerautumn,TRUE,5,35to50,TRUE,FALSE,Rock,A serious 5 class route in the remote and rugged Picket range.,"Climbs In The Cascades, Volume II by Jim Nelson and Peter PotterfieldClassic Climbs Of The Northwest by Alan KearneyCascade Alpine Guide, Volume 3 by Fred Beckey",Marblemount NPS Ranger Station 360-873-4590
Invisible Mountain,,Mahogany Ridge,B,4500,650,12,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Invisible Mtn's route ascends fairly directly up its southern ridge adjacent to Mahogany Gulch. At 9000' one will ascend above the treeline. Follow the ridge as it winds above a huge cirque to the right. At about 10,800' the ridge narrows to a crest with a downclimb of about 15' of class 3. (Alternately one can move climber's left and work down several easy, but exposed ledges.) Beyond, take follow the curving ridge up northeast to the summit.",unknown,"Lost River Ranger District (Mackay, ID) - 208-588-3400"
Ives Peak,,Snowgrass Flats,A,3200,150,2.5,1,summerautumn,TRUE,3,upto35,FALSE,FALSE,Scramble,"Ives Peak is a glaciated peak in the Goat Rocks area between Mts. Adams and Rainier.  Bring the binoculars for mountain goat watching!  If you care to, you can combine this peak with it's neighbor, Old Snowy, for a short traverse that has some modest technical challenges.   If you are looking for a gentle approach and non-technical ascent in a beautiful area, this is your peak.  ",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,USFS Packwood WA information center  360-494-0600
Jack Mountain,,North Ridge,B,7400,310,6,2,summerautumn,TRUE,4,upto35,FALSE,FALSE,Snow,"A remote peak requiring a solid days approach, Jack Mt. is one of Washingtons coveted 9,000 footers.  There is no glacier travel required on this route ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄå´Ìâå± rare for a peak this high at this latitude.  The leaders of a recent climb on the SW route (unsuccessful) writes: ""Doing the ascent from Crater Mountain and Jerry Lakes may be a better approach.""",Climbing Washingtons Mountains by Jeff SmootCascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,none
Jack Mountain,,SW Slope,B,7400,310,6,2,summerautumn,TRUE,4,upto35,FALSE,FALSE,Snow,"A remote peak requiring a solid days approach, Jack Mt. is one of Washingtons coveted 9,000 footers.  There is no glacier travel required on this route ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄå´Ìâå± rare for a peak this high at this latitude.  The leaders of a recent climb on the SW route (unsuccessful) writes: ""Doing the ascent from Crater Mountain and Jerry Lakes may be a better approach.""",Climbing Washingtons Mountains by Jeff SmootCascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey ,none
Kaleetan Peak,,South Side,A,4100,210,4.5,1,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,"This is a technically easy ""scramble"" peak in the Snoqualmie Pass area off of I-90 east of Seattle.  It offers some fine vistas and little in the way of technical difficulty.  Ice axe and crampons may be needed in the early season.  If you are staying in the area, it can be combined with Guye, Hibox, Chair, or some of the many other easier nearby scramble peaks. ",75 Scrambles in Washington by Peggy GoldmanCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"Mt Baker-Snoqualmie NF, North Bend Office 425-888-1421"
King's Peak,,Henry's Fork,A,,,,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,This is the highest point in Utah.,unknown,"Wasatch-Cache National Forest, Salt Lake City, UT 801-524-3900"
Krag Peak,,South Ridge,A,4600,350,7,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Krag Peak is either 9048 feet (B.Bond) or 9.080 (list of OR highest peaks on Mazama site). Located in south central reaches of the Eagle Cap wilderness of northeast Oregon's Wallowa Mountains, it is one of many 9000-footers of the range. Viewed from the western slopes of its (larger) neighboring Red Mountain, Krag Peak looks a bit like a bell with steep slopes on all sides. ",75 Scrambles in Oregon by Barbara I. Bond100 Hikes / Travel Guide Eastern Orego by William L. Sullivan,Wallowa ÌÄåÎÌÄå__ÌÄåÎÌÄå_ÌÄå´Ìâå± Whitman National Forest Baker City  (541) 523-6391Eagle Cap Ranger District Enterprise  (541) 426-4978Baker County Sheriff: (541)523-6415
Kyes Peak,,South Ridge,B,5400,250,5,1,summerautumn,TRUE,3,upto35,FALSE,FALSE,Snow,"Kyes Peak, (rhymes with ""wise"") the highest of the Monte Cristo Range in central Washington, is a large craggy peak surrounded by glaciers.  The South ridge is a popular scramble route, described by Smoot as ""varied, interesting and enjoyable.""  The Monte Cristo Range is known for beautiful backcountry terrain and rugged peaks, combined with moderate car-to-car-in-a-day routes.",Climbing Washingtons Mountains by Jeff SmootCascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,Mt Baker / Snoqualmie Nat. Forest: (800) 627-0062
Lane Peak,,SE Gulley,A,1400,160,3,1,summerautumn,FALSE,4,,TRUE,FALSE,Scramble,"Trailhead is at Reflection Lake Lakes parking area on the Stevens Canyon Rd. Take the maintained trail to the Pinnacle Peak saddle. From the saddle proceed westerly towards Lane Peak via a series of informal trails. After passing Denman Peak, you will drop down info a saddle between it and Lane Peak. Ascend up the SE side of Lane looking for an ""open book"" appearing gulley. At the top of the gulley is one live tree. The route may need to be protected on the ascent depending on party skill. A rope for the descent (either down climbing or rappelling) is a good idea. Setting an anchor on top and having team members use their PAS is also a good idea as there is exposure and limited space.",Cascade Alpine Guide 1: Columbia River to Stevens Pass - Fred Beckey75 Scrambles in Washington - Peggy GoldmanGuide to 100 Peaks at Mt. Rainier - eBook by The Mountaineers,NPS - Mt. Rainier 360-569-2211 ext. 2334After hours -Lewis County SAR 360-740-1105
Lane Peak,,The Zipper,C,2000,160,3.5,1,springsummer,FALSE,4,35to50,FALSE,FALSE,Snow,"Brief description of the route: Hike from Reflection Lakes trailhead to the Pinnacle-Plummer Saddle and from there to the base of north face of Lane Peak.  Climb the steep snow-filled couloir to the summit ridge and scramble on rock to the summit. If the couloir lacks snow or is otherwise unsafe, the ascent will be via the easy southeast side. Descent via the southeast side.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey75 Scrambles in Washington by Peggy Goldman,"Mt. Rainier NP, Park HQ: 360-569-2211 ext 2334"
Le Petit Cheval,,Spontaneity Arete,D,1800,333,6,1,summerautumn,FALSE,5,,TRUE,FALSE,Rock,"Approach: Look for a climber's trail on the west side of the turnout leading steeply down loose dirt and rocks to a trail marked by carins through the forest. The trail will cross the Early Winters Creek on logs and resume on the far side before heading up into an open, rocky drainage. Continue up the drainage, passing a cave on your right, and follow carins. The trail steepens here significantly. Along the way you should encounter two to three fixed lines (three as of 9/2012) before the trail tops out on a flat area. The lines are separated by gaps (trail). If you continue too far on the trail you will enter the gully (descent route). Before the gully look on your left for some tree snags. Choose one for a belay anchor, ideally on the far left/exposed portion of the ridge you are about to ascend. Rope up here for the first pitch. Information from ",,
Lemah Mountain,,Lemah Glacier,B,4300,270,5,2,summerautumn,TRUE,4,upto35,FALSE,FALSE,rockandsnow,"Lemah Mountain is has five prominent fingers which are some of the most distinguishable peaks of the Snoqualmie Crests peaks and is just south of Chimney Rock. Lemah offers an alpine climb experience with snow, steep glacier, and class 4 rock to high ridge and exposed summit.  ",Climbing Washington's Mountains ÌÄåÎÌÄå__ by Jeff SmootCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"Wenatchee NF, Cle Elum Ranger District, 509-852-1100"
Lemei Rock,,Standard,A,3000,80,2,1,summerautumn,FALSE,,,,FALSE,Scramble,"Scramble climb on a cross-country traverse to visit one of the highest points in the Indian Heaven Wilderness, located north of the Columbia River Gorge roughly between Mt. St. Helens and Mt. Adams.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,none
Lemei Rock,,South to North,A,3500,80,2,1,summerautumn,FALSE,4,,FALSE,FALSE,Scramble,Scramble climb on a cross-country traverse to visit the three highest points in the Indian Heaven Wilderness located north of the Columbia River Gorge roughly between Mt. St. Helens and Mt. Adams.  Great views of the Guardian Peaks from all three summits and spectacular fall colors.,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,none
Lexington Tower,,North Face,D,2500,310,7,1,summerautumn,,5,,TRUE,FALSE,Rock,A moderate and interesting climb with short steps of 5th and 5.7 (YDS) class climbing interspersed with 3rd class Scramble. The North Face is an appealing route on good rock.,Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,none
Liberty Bell,,Beckey Route,D,2200,340,6.5,1,summerautumn,FALSE,5,,TRUE,FALSE,Rock,"A classic climb in the best alpine rock area in the state, Liberty Bell involves 4 pitches of up up to 5.6 climbing on solid granite.  Mssr. Beckey and pals climbed this first in the 1940s. Early season can have snow in the approach gully - might want to bring an ice axe.  This route is a L O N G  way from Portland, and it's kinda silly to drive all that way to climb 4 pitches of rock.  Make a weekend of it and combine this several other classics in the area (N and S Early Winter Spire, for example).  Did I mention the short approach hike?",Climbs in the Cascades Vol. 1 by Nelson and PotterfieldCascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,none
Little Annapurna,,North Slope,A,5100,270,5,2,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"One of the prominent peaks in the beautiful Enchantment Basin, this summit is a walk up.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey 75 Scrambles in Washington by Peggy Goldman,"Wenatchee NF, Leavenworth Ranger District: (509) 548-2550"
Little Mt. Adams,,NW Ridge,A,1900,100,2.5,1,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,Island Spring Trail from Bench Lake,,Yakama Nation 509 865-5121 Yakima County Sheriff 509 574-2500
Little Tahoma,,Frying Pan Glacier,B,7300,180,4,2,summerautumn,TRUE,4,35to50,FALSE,TRUE,rockandsnow,"Eroded away from a much larger Rainier volcano, this peak can be a fairly uncrowded moderately technical climb within Rainer Nat Park.  Great views of the classic Rainer routes may be had from the summit.  Note the $30 per head (ouch!) climber fee the NPS now charges for Lil' Tahoma, as well as for it's larger neighbor.  Check the NPS web site for current permit requirements.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,"Mt Rainer NP, Park HQ: 360-569-2211 ext 2334White River Ranger Station in the Park: 360-663-2273"
Luna Peak,,Luna Col,C,7200,305,5.5,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,Scramble,"In the heart of the famed Northern picket range, Luna offers very loose 3rd class rock. A machete could be helpful for bushwhacking!",,Marblemount NPS Ranger Station 360-873-4590
Marcus Peak,,Palisade Lake Trail,B,4100,2200,4,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Marcus Peak and The Palisades are Scramble peaks located on the NE side of Mt. Rainier. From the White River entrance, drive about 13 miles to Sunrise Point (6100') and park. Take the Palisades Lake Trail until reaching a sign for Hidden Lake. Turn left, follow the trail past the lake, and ascend to the saddle between Marcus and the Palisades. Turn left and follow the ridge (mostly to the right) to the summit block. Ascend blocky rock to the summit watching for loose rock. Return to the saddle and follow a short path through conifers heading east to an open meadow. Head north toward the Palisades up a gentle slope to about 6650'. Change bearing to 40-60 degrees and follow the most easy terrain to beyond the summit. Double back on the NW ridge to avoid thick vegetation. A strong party might also be able to scramble Brown and Slide Mountain.",Guide to 100 Peaks at Mt. Rainier,Mt. Rainier National Park- 360-569-2211
Martin Peak,,Royal Basin,C,5100,300,6,2,springsummer,TRUE,4,35to50,TRUE,FALSE,rockandsnow,"From Shelter Rock, follow climbers trail past large boulders and waterfall to attain ridge separating Martin Peak and Mt. Deception. From shoulder, scramble NW to the summit.","Climbing Washingtons Mountains by Jeff SmootClimbers Guide to the Olympic Mountains, 3rd Edition",Olympic National Forest Headquarters: 360-9562402
Matterhorn,Sacajawea Peaks,Ice Lake,A,5200,350,6.5,2,summerautumn,FALSE,3,upto35,FALSE,FALSE,Scramble,"This is an easy class 2 scramble route on two of the highest peaks in the Wallowas.  Ice axe and crampons are needed before mid July.  Doing both in 1 day is quite a feat - perhaps just Matterhorn is more appropriate.  (When you tell people you've climbed the Matterhorn, you don't have to tell them which one it was!)",Hiking Oregons Eagle Cap Wilderness by Fred Barstad,"Eagle Cap Wilderness, Wallowa-Whitman National Forest, Baker City office 503-523-6391"
Mauna Loa,,Ainapo Northeast Rift Traverse,A,11700,,,2,springsummer,FALSE,3,,FALSE,FALSE,Scramble,"Climbing in Hawaii? Yes! Mauna Kea (13,796 ft.) and Mauna Loa (13,677 ft.) are the two highest points in the state of Hawaii, located on the Big Island with elevations that would place them among the highest peaks in the Cascades. A shield volcano, Mauna Loa's base takes up some fifty square miles and holds the title as the world's largest active volcano (especially when measured from the sea floor of the Pacific). This route is a traverse ascending via the SW flanks to the summit crater. Return via Pu'u'ula'ula (Red Hill) to the Kipukakulalio Trailhead. Altitude sickness is common if coming up too fast from sea-level. Mauna Loa is part of Hawaii Volcanoes National Park; check the eruption updates before you climb.",,Hawaii Volcanoes National Park: 808-985-6000
Mauna Loa,,Observation Trail,A,2000,,,1,summerautumn,FALSE,3,,FALSE,FALSE,Scramble,"Climbing in Hawaii?  Yes!  Mauna Kea (13,796 ft) and Mauna Loa (13,677 ft) are the two highest points in the state of Hawaii, located on the Big Island with elevations that would place them among some of the highest peaks in the Cascades.  A shield volcano, Mauna Loa's base takes up some fifty square miles and holds the title as the world's largest active volcano (especially when measured from the sea floor of the Pacific).  The main route starts at the Mauna Loa Observatory on the north flank of the mountain, climbing to the rim of the Moku'aweoweo Caldera (a 2mi long, 1mi wide crater).  From there it's another 2.5mi along the rim to the true summit.  Altitude sickness is common if coming up too fast from sea-level.  Mauna Loa is part of Hawaii Volcanoes National Park;  check the current eruption updates before you climb.",,
Mesahchie Peak,,SE Face,B,4200,340,7,2,summerautumn,TRUE,4,upto35,TRUE,FALSE,Rock,"Mesahchie Peak is the highest peak of Ragged Ridge in the North Cascades.  Mesahchie means ""wicked"" in Chinook jargon.  It is located west of Highway 20 about 7 miles NW of Rainy Pass.",Cascade Alpine Guide: Rainy Pass to Fraser River by Fred Beckey,Marblemount NPS Ranger Station 360-873-4590
Middle Sister,,SE Ridge,A,5000,170,3,2,summerautumn,TRUE,3,,FALSE,FALSE,Scramble,"This is a late season scramble route to the summit of Middle Sister. No technical skills are required. It is a long route that takes you up the Southeast ridge. Note:  This route, if properly approached, has NO crevasse crossings.  This makes is a slightly less technical route (ie, leave pro, rope and harnesses at home!) than the crevassed approaches from the north side of the peak.  It can also offer better skiing conditions.",Oregon High by Jeff Thomas ,"Deschutes National Forest, Sisters Ranger District, 541-549-7700 "
Middle Sister,,Renfrew Glacier/North Ridge,B,5300,160,3,2,summerautumn,TRUE,,35to50,TRUE,TRUE,Snow,"""Middle"" in difficulty between South and North Sister, this is a nice climb with a great approach - just about 5 miles and 1500 vertical feet to great camping at treeline (from the east). A bit of snow travel, gentle slopes, and one pitch of steep near the top make this a good route for those looking for a moderate multi day trip. This approach to Middle Sister is from the Frog Camp/Obsidian Trailhead at 4,750 feet. You will find a beautiful camp area at Arrowhead Lake. From camp you will follow a fairly gentle, 30 degrees or less, grade in snow up to the saddle between north and middle sister. From there, ascend an exposed rock spine to the summit. You are likely to encounter loose rock and one steeper snow pitch.",Oregon High by Jeff Thomas,"Deschutes National Forest, Sisters Ranger District, 541-549-7700"
Middle Sister,,North Ridge,B,5000,170,3,2,summerautumn,TRUE,3,upto35,FALSE,FALSE,Snow,"""Middle"" in difficulty between South and North Sister, this is a nice climb with a great approach - just about 5 miles and 1500 vertical feet to great camping at treeline (from the east).  A bit of snow travel, gentle slopes, and one pitch of steep near the top make this a good route for those looking for a moderate multi day trip.",Oregon High by Jeff Thomas,"Deschutes National Forest, Sisters Ranger District, 541-549-7700"
Mix-up Peak,,East Face,C,3800,310,7,2,summerautumn,TRUE,4,upto35,TRUE,TRUE,rockandsnow,This route is popularly known as the East Face - it is an improbably steep-looking face that turns out to be quite reasonable. The climb involves a hike up to Cascade Pass. Then a traverse of scree and snow slopes along the east side of Mix-up Peak to the glacier basin below the east face. In late season a moat forms between the snow and rock in the gully that leads to the notch. Once at the notch you'll find class 3 & 4 climbing with a final 5.0 pitch to the summit.,Climbing Washingtons Mountains by Jeff Smoot,Marblemount NPS Ranger Station 360-873-4590
Mont Blanc du Tacul,,NW Face,C,2300,,,1,springsummer,TRUE,4,35to50,TRUE,TRUE,rockandsnow,"From the Midi station descend to the Col du Midi. Ascend the NW slope, overcoming a steep section(40 degrees) then continue right past numerous crevasses(potential ladder crossings). Gain the shoulder of the Tacul, formed by the upper section of the west ridge(snow). Continue left along the west ridge, gently angled, until the rocks below the summit(4th class) moving slightly onto the NE side.","Mont Blanc Classic & Plaisir - Marco Romelli Mountaineering in the Mont Blanc Range: Classic Snow, Ice & MixClimbs - Jean-Louis Laroche & Florence LeLong",Chamonix Centre- tel:33(0)4 50 53 00 55
Monte Cristo Peak,,North Col,B,5200,250,6.5,2,summerautumn,TRUE,4,upto35,TRUE,FALSE,Scramble,"Drive the Mountain Loop Highway to Barlow Pass. Park at the pass (2,360 ft). Walk the road to Monte Cristo for 4.2 miles & 400 feet to the townsite (2,760 ft). The Glacier Basin Trail leads to Glacier Falls in about 1.2 miles. From there, the trail climbs moderately up through a section of slick rocks and roots until finally leveling off. At this point the creek and trail turn sharply right to ascend past the back side of Mystery Hill. Continue about a mile to the upper reaches of Glacier Basin. You can pass the 4,500-ft timbered knoll at the center on either side. From Glacier Basin take the obvious center gully through the lower cliff bands. Later in the season once the snow has gone this will be a death slog up talus. At the constriction of the gully go right around the wall above. Turn left around the backside of the wall and trudge up steep snow (to 45 degrees) for a few hundred feet to the col (6,760+ ft). The col is a beautiful place to take in the views. In particular, walk north from the col 100 feet or so to get a view of Columbia Peak through the gap to the west.",Climbing Washington's Mountains by Jeff Smoot Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,Mt Baker / Snoqualmie Nat. Forest: (800) 627-0062
Monte Cristo Peak,,South Approach,B,5200,250,6.5,1,summerautumn,TRUE,4,35to50,TRUE,TRUE,Scramble,"The south approach is not done so much, so we can't tell you too much about this route.  It seems to be a straightforward way to access the upper reaches of Monte Cristo.  The specific requirements of the route are not known.  The upper reaches of the peak are likely to have have moderately steep snow and a bit of 4th class rock.   (Sorry this is vague, but that's all we have to go from the original exploratory climb prospectus!)",Climbing Washington's Mountains by Jeff Smoot Cascade Alpine Guide: Stevens Pass to Rainy Pass by Fred Beckey,Mt Baker / Snoqualmie Nat. Forest: (800) 627-0062
Mt. Adams,,Lyman Glacier,D,7800,120,3,2,springsummer,TRUE,,35to50,FALSE,TRUE,Snow,The steep and quite crevassed Lyman Glacier has a narrow outcrop that separates it into halves. The N portion was the original route. The South portion is steep on the lower half (40 degrees) with unbroken neve or ice; the upper half is a series of crevasses and serac walls. ,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,USFS Trout Lake Ranger District Office: 509-395-3400
Mt. Adams,,Lava Glacier Headwall,D,7800,120,3,2,springsummer,TRUE,,35to50,,,Snow,This headwall forms a triangle between the North Ridge and the Lava Ridge. It is best done in early season to avoid icy conditions and rockfall. ,Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,USFS Trout Lake Ranger District Office: 509-395-3400
Mt. Adams,,Avalanche-White Salmon Glacier,C,6700,100,2,2,springsummer,TRUE,,upto35,FALSE,FALSE,Snow,"This is a gently sloping glacier route on the SW slopes, with the attraction of solitude over the South Side route. However, when the White Salmon breaks up, some ice work may be required. ",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,USFS Trout Lake Ranger District Office: 509-395-3400
Mt. Adams,,North Ridge,B,7800,100,2,2,springsummer,TRUE,4,35to50,FALSE,TRUE,rockandsnow,"The North Ridge is the easiest route on the North side of the peak, with year-round climbing and ranking second in popularity with the south side. Some exposure and rotten rock on the upper ridge.  Great views down onto the Adams Glacier route.  This route is a popular way to descend some of the more technical routes in the area.  It can be fairly ugly scree in late season.  ",Climbs in the Cascades by Nelson and PotterfieldCascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,USFS Trout Lake Ranger District Office: 509-395-3400
Mt. Adams,,Pinnacle Glacier ,C,6700,100,2,2,springsummer,TRUE,,35to50,FALSE,TRUE,Snow,"The Pinnacle Glacier is a more technical route on the west side of the peak, with crevasses, seracs, and attendant routefinding challenges.  Be fit and move fast.",Cascade Alpine Guide: Columbia River to Stevens Pass by Fred Beckey,USFS Trout Lake Ranger District Office: 509-395-3400
